10ClassKind,icd10Code,11ClassKind,icd11Code
chapter,I,category,1H0Z
block,A00-A09,category,1A00
block,A00-A09,category,1A07.Z
block,A00-A09,category,1A08
block,A00-A09,category,1A09
block,A00-A09,category,1A02
block,A00-A09,category,1A0Z
block,A00-A09,category,1A03.Z
block,A00-A09,category,1A01
block,A00-A09,category,1A1Z
block,A00-A09,category,1A36.Z
block,A00-A09,category,1A3Z
block,A00-A09,category,1A2Z
block,A00-A09,category,1A40.Z
category,A00,category,1A00
category,A00.0,category,1A00&XN8P1
category,A00.1,category,1A00&XN62R
category,A00.9,category,1A00
category,A01,category,1A07.Z
category,A01,category,1A08
category,A01.0,category,1A07.Z
category,A01.1,category,1A08
category,A01.2,category,1A08
category,A01.3,category,1A08
category,A01.4,category,1A08
category,A02,category,1A09
category,A02.0,category,1A09
category,A02.1,category,1G40
category,A02.2,category,1A09
category,A02.2,category,1A0Z
category,A02.8,category,1A09
category,A02.9,category,1C41
category,A03,category,1A02
category,A03.0,category,1A02
category,A03.1,category,1A02
category,A03.2,category,1A02
category,A03.3,category,1A02
category,A03.8,category,1C41
category,A03.9,category,1A02
category,A04,category,1A0Z
category,A04,category,1A03.Z
category,A04,category,1A01
category,A04.0,category,1A03.0
category,A04.1,category,1A03.1
category,A04.2,category,1A03.2
category,A04.3,category,1A03.3
category,A04.4,category,1A03.Z
category,A04.5,category,1A06
category,A04.6,category,1A05
category,A04.7,category,1A04
category,A04.7,category,1A1Z
category,A04.8,category,1A0Z
category,A04.9,category,1A0Z
category,A05,category,1A1Z
category,A05.0,category,1A10
category,A05.1,category,1A11.Z
category,A05.2,category,1A12
category,A05.3,category,1A01
category,A05.4,category,1A13
category,A05.8,category,1A1Z
category,A05.9,category,1A1Z
category,A06,category,1A36.Z
category,A06.0,category,1A36.00
category,A06.0,category,1A36.0Z
category,A06.1,category,1A36.0Z
category,A06.2,category,1A36.0Z
category,A06.3,category,1A36.01
category,A06.4,category,1A36.10
category,A06.5,category,1A36.11
category,A06.6,category,1A36.1
category,A06.7,category,1A36.12
category,A06.8,category,1A36.1
category,A06.9,category,1A36.Z
category,A07,category,1A3Z
category,A07.0,category,1A30
category,A07.1,category,1A31
category,A07.2,category,1A32
category,A07.3,category,1A33.Z
category,A07.8,category,1A35
category,A07.8,category,1A34
category,A07.8,category,1A36.0Z
category,A07.8,category,1A3Z
category,A07.9,category,1A3Z
category,A08,category,1A2Z
category,A08.0,category,1A22
category,A08.1,category,1A23
category,A08.2,category,1A20
category,A08.3,category,1A2Z
category,A08.3,category,1A9Z
category,A08.3,category,1A21
category,A08.4,category,1A2Z
category,A08.5,block,
category,A08.5,category,1A24
category,A09,category,1A40.Z
category,A09.0,category,1A40.Z
category,A09.9,category,1A40.0
block,A15-A19,category,1B1Z
category,A15,category,1B10.0
category,A15.0,category,1B10.0
category,A15.1,category,1B10.0
category,A15.2,category,1B10.0
category,A15.3,category,1B10.0
category,A15.4,category,1B10.0
category,A15.5,category,1B10.0
category,A15.6,category,1B10.0
category,A15.7,category,1B10.0
category,A15.8,category,1B10.0
category,A15.9,category,1B10.0
category,A16,category,1B10.1
category,A16.0,category,1B10.1
category,A16.1,category,1B10.1
category,A16.2,category,1B10.1
category,A16.3,category,1B10.1
category,A16.4,category,1B10.1
category,A16.5,category,1B10.1
category,A16.7,category,1B10.1
category,A16.8,category,1B10.Z
category,A16.9,category,1B10.Z
category,A17,category,1B11.Z
category,A17.0,category,1B11.0
category,A17.1,category,1B11.2
category,A17.8,category,1B11.Z
category,A17.8,category,1B11.1
category,A17.9,category,1B11.Z
category,A18,category,1B12
category,A18.0,category,1B12.40
category,A18.1,category,1B12.5
category,A18.2,category,1B12.6
category,A18.3,category,1B12.7
category,A18.4,category,1B12.41
category,A18.4,category,1B12.8
category,A18.5,category,1B12.1
category,A18.6,category,1B12.2Z
category,A18.7,category,1B12.3
category,A18.8,category,1B12
category,A18.8,category,1B12.7
category,A18.8,category,1B12.3
category,A19,category,1B13.Z
category,A19.0,category,1B13.0
category,A19.1,category,1B13.1
category,A19.2,category,1B13.Z
category,A19.8,category,1B13.Z
category,A19.9,category,1B13.Z
block,A20-A28,category,1B9Z
category,A20,category,1B93.Z
category,A20.0,category,1B93.0
category,A20.1,category,1B93.1
category,A20.2,category,1B93.2
category,A20.3,category,1B93.3
category,A20.7,category,1B93.Z
category,A20.8,category,1B93.Z
category,A20.9,category,1B93.Z
category,A21,category,1B94.Z
category,A21.0,category,1B94.0
category,A21.1,category,1B94.Z
category,A21.2,category,1B94.Z
category,A21.3,category,1B94.Z
category,A21.7,category,1B94.Z
category,A21.8,category,1B94.Z
category,A21.9,category,1B94.Z
category,A22,category,1B97
category,A22.0,category,1B97
category,A22.1,category,1B97
category,A22.2,category,1B97
category,A22.7,category,1B97
category,A22.8,category,1B97
category,A22.9,category,1B97
category,A23,category,1B95
category,A23.0,category,1B95
category,A23.1,category,1B95
category,A23.2,category,1B95
category,A23.3,category,1B95
category,A23.8,category,1B95
category,A23.9,category,1B95
category,A24,category,1B92
category,A24,category,1C42
category,A24.0,category,1B92
category,A24.1,category,1C42
category,A24.2,category,1C42
category,A24.3,category,1C42
category,A24.4,category,1C42
category,A25,category,1B90
category,A25.0,category,1B90.0
category,A25.1,category,1B90.1
category,A25.9,category,1B90
category,A26,category,1B96
category,A26.0,category,1B96
category,A26.7,category,1G40
category,A26.8,category,1B96
category,A26.9,category,1B96
category,A27,category,1B91
category,A27.0,category,1B91
category,A27.8,category,1B91
category,A27.9,category,1B91
category,A28,category,1B9Z
category,A28.0,category,1B99
category,A28.1,category,1B98
category,A28.2,category,1B9A
category,A28.8,category,1B9Z
category,A28.9,category,1B9Z
block,A30-A49,category,1B20.Z
block,A30-A49,category,1B21.Z
block,A30-A49,category,1C1A.Z
block,A30-A49,category,1C15
block,A30-A49,category,1C14
block,A30-A49,category,1C13
block,A30-A49,category,1C17.Z
block,A30-A49,category,1C12.Z
block,A30-A49,category,1B50
block,A30-A49,category,1C1C.Z
block,A30-A49,block,
block,A30-A49,category,1C10.Z
block,A30-A49,category,1C1B.Z
block,A30-A49,category,1C11
block,A30-A49,category,1B70.0
block,A30-A49,category,1B70.Z
block,A30-A49,category,1C4Z
block,A30-A49,category,1C41
category,A30,category,1B20.Z
category,A30.0,category,1B20.0
category,A30.1,category,1B20.0
category,A30.2,category,1B20.0
category,A30.3,category,1B20.1
category,A30.4,category,1B20.1
category,A30.5,category,1B20.1
category,A30.8,category,1B20.Z
category,A30.9,category,1B20.Z
category,A31,category,1B21.Z
category,A31.0,category,1B21.0
category,A31.1,category,EA5Z
category,A31.8,category,1B21.Z
category,A31.9,category,1B21.Z
category,A32,category,1C1A.Z
category,A32.0,category,1C1A.0
category,A32.1,category,1C1A.1
category,A32.7,category,1C1A.Z
category,A32.8,category,1C1A.Z
category,A32.9,category,1C1A.Z
category,A33,category,1C15
category,A34,category,1C14
category,A35,category,1C13
category,A36,category,1C17.Z
category,A36.0,category,1C17.0Z
category,A36.1,category,1C17.1
category,A36.2,category,1C17.2
category,A36.3,category,1C17.3
category,A36.8,category,1C17.Z
category,A36.9,category,1C17.Z
category,A37,category,1C12.Z
category,A37.0,category,1C12.0
category,A37.1,category,1C12.1
category,A37.8,category,1C12.Z
category,A37.9,category,1C12.Z
category,A38,category,1B50
category,A39,category,1C1C.Z
category,A39.0,category,1C1C.0
category,A39.1,category,1C1C.1
category,A39.2,category,1C1C.20
category,A39.3,category,1C1C.2Z
category,A39.4,category,1C1C.2Z
category,A39.5,category,1C1C.Z
category,A39.8,category,1C1C.Z
category,A39.8,category,1D00.0
category,A39.9,category,1C1C.Z
category,A40,block,
category,A40.0,category,1G40
category,A40.1,category,1G40
category,A40.2,category,1G40
category,A40.3,category,1G40
category,A40.8,block,
category,A40.9,block,
category,A41,block,
category,A41.0,category,1G40
category,A41.1,category,1G40
category,A41.2,category,1G40
category,A41.3,category,1G40
category,A41.4,category,1G40
category,A41.5,category,1G40
category,A41.8,block,
category,A41.9,block,
category,A42,category,1C10.Z
category,A42.0,category,1C10.0
category,A42.1,category,1C10.1
category,A42.2,category,1C10.2
category,A42.7,category,1C10.Z
category,A42.8,category,1C10.Z
category,A42.9,category,1C10.Z
category,A43,category,1C1B.Z
category,A43.0,category,1C1B.0
category,A43.1,category,1C1B.1
category,A43.8,category,1C1B.Z
category,A43.9,category,1C1B.Z
category,A44,category,1C11
category,A44.0,category,1C11.00
category,A44.1,category,1C11.01
category,A44.8,category,1C11
category,A44.9,category,1C11
category,A46,category,1B70.0
category,A46,category,1B70.Z
category,A48,category,1C4Z
category,A48.0,category,1C16
category,A48.1,category,1C19
category,A48.2,category,1C19.0
category,A48.3,category,1B52
category,A48.4,category,1C18
category,A48.8,category,1C4Z
category,A49,category,1C41
category,A49.0,category,1C41
category,A49.1,category,1C41
category,A49.2,category,1C41
category,A49.3,category,1C41
category,A49.8,category,1C41
category,A49.9,category,1C41
block,A50-A64,category,1A9Z
category,A50,category,1A60.Z
category,A50.0,category,1A60.0
category,A50.1,category,1A60.1
category,A50.2,category,1A60.Z
category,A50.3,category,1A60.2
category,A50.4,category,1A60.3
category,A50.5,category,1A60.4
category,A50.6,category,1A60.5
category,A50.7,category,1A60.Z
category,A50.9,category,1A60.Z
category,A51,category,1A61.Z
category,A51.0,category,1A61.0
category,A51.1,category,1A61.1
category,A51.2,category,1A61.2
category,A51.3,category,1A61.3
category,A51.4,category,1A61.4
