0010,A000,A00.0
0011,A001,A00.1
0019,A009,A00.9
0020,A0100,A01.00
0021,A011,A01.1
0022,A012,A01.2
0023,A013,A01.3
0029,A014,A01.4
0030,A020,A02.0
0031,A021,A02.1
00320,A0220,A02.20
00321,A0221,A02.21
00322,A0222,A02.22
00323,A0223,A02.23
00324,A0224,A02.24
00329,A0229,A02.29
0038,A028,A02.8
0039,A029,A02.9
0040,A030,A03.0
0041,A031,A03.1
0042,A032,A03.2
0043,A033,A03.3
0048,A038,A03.8
0049,A039,A03.9
0050,A050,A05.0
0051,A051,A05.1
0052,A052,A05.2
0053,A058,A05.8
0054,A053,A05.3
00581,A055,A05.5
00589,A054,A05.4
00589,A058,A05.8
0059,A059,A05.9
0060,A060,A06.0
0061,A061,A06.1
0062,A062,A06.2
0063,A064,A06.4
0064,A065,A06.5
0065,A066,A06.6
0066,A067,A06.7
0068,A0689,A06.89
0069,A069,A06.9
0070,A070,A07.0
0071,A071,A07.1
0072,A073,A07.3
0073,A078,A07.8
0074,A072,A07.2
0075,A074,A07.4
0078,A078,A07.8
0079,A079,A07.9
00800,A044,A04.4
00801,A040,A04.0
00802,A041,A04.1
00803,A042,A04.2
00804,A043,A04.3
00809,A044,A04.4
0081,A048,A04.8
0082,A048,A04.8
0083,A048,A04.8
00841,A048,A04.8
00842,A048,A04.8
00843,A045,A04.5
00844,A046,A04.6
00845,A0471,A04.71
00845,A0472,A04.72
00846,A048,A04.8
00847,A048,A04.8
00849,A048,A04.8
0085,A049,A04.9
00861,A080,A08.0
00862,A082,A08.2
00863,A0811,A08.11
00864,A0819,A08.19
00865,A0831,A08.31
00866,A0832,A08.32
00867,A0839,A08.39
00869,A0839,A08.39
0088,A088,A08.8
0090,A09,A09.
0091,A09,A09.
0092,A09,A09.
0093,A09,A09.
01000,A157,A15.7
01001,A157,A15.7
01002,A157,A15.7
01003,A157,A15.7
01004,A157,A15.7
01005,A157,A15.7
01006,A157,A15.7
01010,A156,A15.6
01011,A156,A15.6
01012,A156,A15.6
01013,A156,A15.6
01014,A156,A15.6
01015,A156,A15.6
01016,A156,A15.6
01080,A157,A15.7
01081,A157,A15.7
01082,A157,A15.7
01083,A157,A15.7
01084,A157,A15.7
01085,A157,A15.7
01086,A157,A15.7
01090,A157,A15.7
01091,A157,A15.7
01092,A157,A15.7
01093,A157,A15.7
01094,A157,A15.7
01095,A157,A15.7
01096,A157,A15.7
01100,A150,A15.0
01101,A150,A15.0
01102,A150,A15.0
01103,A150,A15.0
01104,A150,A15.0
01105,A150,A15.0
01106,A150,A15.0
01110,A150,A15.0
01111,A150,A15.0
01112,A150,A15.0
01113,A150,A15.0
01114,A150,A15.0
01115,A150,A15.0
01116,A150,A15.0
01120,A150,A15.0
01121,A150,A15.0
01122,A150,A15.0
01123,A150,A15.0
01124,A150,A15.0
01125,A150,A15.0
01126,A150,A15.0
01130,A155,A15.5
01131,A155,A15.5
01132,A155,A15.5
01133,A155,A15.5
01134,A155,A15.5
01135,A155,A15.5
01136,A155,A15.5
01140,A150,A15.0
01141,A150,A15.0
01142,A150,A15.0
01143,A150,A15.0
01144,A150,A15.0
01145,A150,A15.0
01146,A150,A15.0
01150,A150,A15.0
01151,A150,A15.0
01152,A150,A15.0
01153,A150,A15.0
01154,A150,A15.0
01155,A150,A15.0
01156,A150,A15.0
01160,A150,A15.0
01161,A150,A15.0
01162,A150,A15.0
01163,A150,A15.0
01164,A150,A15.0
01165,A150,A15.0
01166,A150,A15.0
01170,A150,A15.0
01171,A150,A15.0
01172,A150,A15.0
01173,A150,A15.0
01174,A150,A15.0
01175,A150,A15.0
01176,A150,A15.0
01180,A150,A15.0
01181,A150,A15.0
01182,A150,A15.0
01183,A150,A15.0
01184,A150,A15.0
01185,A150,A15.0
01186,A150,A15.0
01190,A150,A15.0
01191,A150,A15.0
01192,A150,A15.0
01193,A150,A15.0
01194,A150,A15.0
01195,A150,A15.0
01196,A150,A15.0
01200,A156,A15.6
01201,A156,A15.6
01202,A156,A15.6
01203,A156,A15.6
01204,A156,A15.6
01205,A156,A15.6
01206,A156,A15.6
01210,A154,A15.4
01211,A154,A15.4
01212,A154,A15.4
01213,A154,A15.4
01214,A154,A15.4
01215,A154,A15.4
01216,A154,A15.4
01220,A155,A15.5
01221,A155,A15.5
01222,A155,A15.5
01223,A155,A15.5
01224,A155,A15.5
01225,A155,A15.5
01226,A155,A15.5
01230,A155,A15.5
01231,A155,A15.5
01232,A155,A15.5
01233,A155,A15.5
01234,A155,A15.5
01235,A155,A15.5
01236,A155,A15.5
01280,A158,A15.8
01281,A158,A15.8
01282,A158,A15.8
01283,A158,A15.8
01284,A158,A15.8
01285,A158,A15.8
01286,A158,A15.8
01300,A170,A17.0
01301,A170,A17.0
01302,A170,A17.0
01303,A170,A17.0
01304,A170,A17.0
01305,A170,A17.0
01306,A170,A17.0
01310,A171,A17.1
01311,A171,A17.1
01312,A171,A17.1
01313,A171,A17.1
01314,A171,A17.1
01315,A171,A17.1
01316,A171,A17.1
01320,A1781,A17.81
01321,A1781,A17.81
01322,A1781,A17.81
01323,A1781,A17.81
01324,A1781,A17.81
01325,A1781,A17.81
01326,A1781,A17.81
01330,A1781,A17.81
01331,A1781,A17.81
01332,A1781,A17.81
01333,A1781,A17.81
01334,A1781,A17.81
01335,A1781,A17.81
01336,A1781,A17.81
01340,A1781,A17.81
01341,A1781,A17.81
01342,A1781,A17.81
01343,A1781,A17.81
01344,A1781,A17.81
01345,A1781,A17.81
01346,A1781,A17.81
01350,A1781,A17.81
01351,A1781,A17.81
01352,A1781,A17.81
01353,A1781,A17.81
01354,A1781,A17.81
01355,A1781,A17.81
01356,A1781,A17.81
01360,A1782,A17.82
01361,A1782,A17.82
01362,A1782,A17.82
01363,A1782,A17.82
01364,A1782,A17.82
01365,A1782,A17.82
01366,A1782,A17.82
01380,A1789,A17.89
01381,A1789,A17.89
01382,A1789,A17.89
01383,A1789,A17.89
01384,A1789,A17.89
01385,A1789,A17.89
01386,A1789,A17.89
01390,A179,A17.9
01391,A179,A17.9
01392,A179,A17.9
01393,A179,A17.9
01394,A179,A17.9
01395,A179,A17.9
01396,A179,A17.9
01400,A1831,A18.31
01401,A1831,A18.31
